"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"pâtissier / pâtissière";https://www.onisep.fr/http/redirection/metier/slug/MET.152;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";D1104;"Pâtisserie, confiserie, chocolaterie et glacerie";https://candidat.francetravail.fr/metierscope/fiche-metier/D1104;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"collaborateur / collaboratrice de commissaire de justice";https://www.onisep.fr/http/redirection/metier/slug/MET.102;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1902;"Collaboration juridique";https://candidat.francetravail.fr/metierscope/fiche-metier/K1902;"économie, droit, politique/activité judiciaire"
"fourreur / fourreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.7938;;"pas de publication Onisep spécifique";;;"GFE L : textile, habillement, cuir";B1803;"Réalisation de vêtements sur mesure ou en petite série";https://candidat.francetravail.fr/metierscope/fiche-metier/B1803;"matières premières, fabrication, industries/textile, habillement"
"carrossier / carrossière";https://www.onisep.fr/http/redirection/metier/slug/MET.68;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE E : travail des métaux";I1606;"Réparation de carrosserie";https://candidat.francetravail.fr/metierscope/fiche-metier/I1606;mécanique/automobile
accessoiriste;https://www.onisep.fr/http/redirection/metier/slug/MET.69;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";L1503;"Décor et accessoires spectacle";https://candidat.francetravail.fr/metierscope/fiche-metier/L1503;"arts, culture, artisanat/arts du spectacle| matières premières, fabrication, industries/textile, habillement"
"responsable des produits structurés actions";https://www.onisep.fr/http/redirection/metier/slug/MET.830;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";;;;"banque, assurances, immobilier/finances| sciences/mathématiques"
"hydraulicien / hydraulicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.908;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";;;;"construction, architecture, travaux publics/génie civil| sciences/physique| sciences/sciences de la Terre"
psychologue;https://www.onisep.fr/http/redirection/metier/slug/MET.871;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";K1104;Psychologie;https://candidat.francetravail.fr/metierscope/fiche-metier/K1104;"histoire-géographie, psychologie, sociologie/psychologie"
"coordonnateur / coordonnatrice d'études cliniques";https://www.onisep.fr/http/redirection/metier/slug/MET.827;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"sciences/biologie| santé, social, sport/médical"
"testeur / testeuse en informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.84;"Les métiers du jeu vidéo";Parcours;2023;9782273016193;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.francetravail.fr/metierscope/fiche-metier/M1805;"informatique, Internet/développement, programmation, logiciel| informatique, Internet/informatique de gestion| information-communication, audiovisuel/multimédia| informatique, Internet/systèmes et réseaux"
"testeur / testeuse en informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.84;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.francetravail.fr/metierscope/fiche-metier/M1805;"informatique, Internet/développement, programmation, logiciel| informatique, Internet/informatique de gestion| information-communication, audiovisuel/multimédia| informatique, Internet/systèmes et réseaux"
"lad-jockey, lad-driver";https://www.onisep.fr/http/redirection/metier/slug/MET.155;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";L1401;"Sportif professionnel";https://candidat.francetravail.fr/metierscope/fiche-metier/L1401;"agriculture, animaux/soins aux animaux| santé, social, sport/sport"
"élagueur / élagueuse";https://www.onisep.fr/http/redirection/metier/slug/MET.900;"Les métiers de l'agriculture et de la forêt";Parcours;2024;9782273016841;"GFE A : agriculture";A1201;"Bûcheronnage et élagage";https://candidat.francetravail.fr/metierscope/fiche-metier/A1201;"environnement, énergies, propreté/aménagement paysager"
"animateur / animatrice de site web";https://www.onisep.fr/http/redirection/metier/slug/MET.7814;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1101;"Animation de site multimédia";https://candidat.francetravail.fr/metierscope/fiche-metier/E1101;"information-communication, audiovisuel/communication"
"ingénieur biomédical / ingénieure biomédicale";https://www.onisep.fr/http/redirection/metier/slug/MET.911;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"santé, social, sport/santé (généralités)"
"vendeur / vendeuse en magasin";https://www.onisep.fr/http/redirection/metier/slug/MET.860;"Les métiers du commerce alimentaire de proximité";"Zoom sur les métiers";2020;9782273014915;"GFE Q : commerce, gestion, finances";"D1106 | D1212 | D1214";"Vente en alimentation | Vente en décoration et équipement du foyer | Vente en habillement et accessoires de la personne";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1106 | https://candidat.francetravail.fr/metierscope/fiche-metier/D1212 | https://candidat.francetravail.fr/metierscope/fiche-metier/D1214";"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing, vente"
"animateur / animatrice du patrimoine";https://www.onisep.fr/http/redirection/metier/slug/MET.445;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.francetravail.fr/metierscope/fiche-metier/G1102;"arts, culture, artisanat/activités culturelles| hôtellerie-restauration, tourisme/tourisme"
"ingénieur concepteur / ingénieure conceptrice en mécanique";https://www.onisep.fr/http/redirection/metier/slug/MET.949;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"matières premières, fabrication, industries/études et développement| informatique, Internet/informatique industrielle et technologique| mécanique/mécanique (généralités)"
"juriste en droit social";https://www.onisep.fr/http/redirection/metier/slug/MET.92;"Les métiers du droit";Parcours;2024;9782273016865;"GFE W : droit, enseignement, recherche et sciences humaines";K1903;"Défense et conseil juridique";https://candidat.francetravail.fr/metierscope/fiche-metier/K1903;"économie, droit, politique/droit social"
"viticulteur / viticultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.174;"Les métiers de l'agriculture et de la forêt";Parcours;2024;9782273016841;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.francetravail.fr/metierscope/fiche-metier/A1405;"matières premières, fabrication, industries/agroalimentaire| agriculture, animaux/cultures"
"viticulteur / viticultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.174;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.francetravail.fr/metierscope/fiche-metier/A1405;"matières premières, fabrication, industries/agroalimentaire| agriculture, animaux/cultures"
"serveur / serveuse en restauration (restaurant, café-bar-brasserie)";https://www.onisep.fr/http/redirection/metier/slug/MET.535;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE S : hôtellerie,  tourisme, loisirs";G1801;"Café, bar brasserie";https://candidat.francetravail.fr/metierscope/fiche-metier/G1801;"hôtellerie-restauration, tourisme/restauration"
"électrobobinier / électrobobinière";https://www.onisep.fr/http/redirection/metier/slug/MET.7816;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";H2601;"Bobinage électrique";https://candidat.francetravail.fr/metierscope/fiche-metier/H2601;"électricité, électronique, robotique/électrotechnique"
"bio-informaticien / bio-informaticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.201;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"sciences/biologie| informatique, Internet/informatique (généralités)| santé, social, sport/santé (généralités)"
"gérant / gérante de portefeuille";https://www.onisep.fr/http/redirection/metier/slug/MET.660;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1303;"Gestion de portefeuilles sur les marchés financiers";https://candidat.francetravail.fr/metierscope/fiche-metier/C1303;"banque, assurances, immobilier/banque"
"ingénieur / ingénieure cloud computing";https://www.onisep.fr/http/redirection/metier/slug/MET.228;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1802;"informatique, Internet/systèmes et réseaux| information-communication, audiovisuel/technologies de l'information"
"géologue modélisateur / modélisatrice";https://www.onisep.fr/http/redirection/metier/slug/MET.105;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.francetravail.fr/metierscope/fiche-metier/F1105;"sciences/sciences de la Terre"
"géotechnicien / géotechnicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.709;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.francetravail.fr/metierscope/fiche-metier/F1105;"sciences/sciences de la Terre"
"gouvernant / gouvernante";https://www.onisep.fr/http/redirection/metier/slug/MET.40;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1503;"Management du personnel d'étage";https://candidat.francetravail.fr/metierscope/fiche-metier/G1503;"hôtellerie-restauration, tourisme/hôtellerie| environnement, énergies, propreté/propreté"
"analyste financier / financière";https://www.onisep.fr/http/redirection/metier/slug/MET.397;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";M1201;"Analyse et ingénierie financière";https://candidat.francetravail.fr/metierscope/fiche-metier/M1201;"banque, assurances, immobilier/finances"
"agent / agente de développement des énergies renouvelables";https://www.onisep.fr/http/redirection/metier/slug/MET.893;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)| construction, architecture, travaux publics/équipement technique"
"visiteur médical / visiteuse médicale";https://www.onisep.fr/http/redirection/metier/slug/MET.418;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE R : santé, social, soins personnels";D1405;"Conseil en information médicale";https://candidat.francetravail.fr/metierscope/fiche-metier/D1405;"santé, social, sport/paramédical"
"constructeur / constructrice de réseaux de canalisations";https://www.onisep.fr/http/redirection/metier/slug/MET.49;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1705;"Pose de canalisations";https://candidat.francetravail.fr/metierscope/fiche-metier/F1705;"construction, architecture, travaux publics/travaux publics"
"éducateur technique spécialisé / éducatrice technique spécialisée";https://www.onisep.fr/http/redirection/metier/slug/MET.711;"Travail social";Parcours;2024;9782273016827;"GFE R : santé, social, soins personnels";K1203;"Encadrement technique en insertion professionnelle";https://candidat.francetravail.fr/metierscope/fiche-metier/K1203;"santé, social, sport/travail social"
"manager opérationnel / manager opérationnelle en restauration rapide";https://www.onisep.fr/http/redirection/metier/slug/MET.8039;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1402;"Management d'hôtel-restaurant";https://candidat.francetravail.fr/metierscope/fiche-metier/G1402;"hôtellerie-restauration, tourisme/hôtellerie| hôtellerie-restauration, tourisme/restauration"
