"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"consultant / consultante en systèmes d'information";https://www.onisep.fr/http/redirection/metier/slug/MET.212;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1806;"Conseil et maîtrise d'ouvrage en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1806;"informatique, Internet/informatique (généralités)"
orthoptiste;https://www.onisep.fr/http/redirection/metier/slug/MET.877;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1407;Orthoptique;https://candidat.francetravail.fr/metierscope/fiche-metier/J1407;"santé, social, sport/paramédical"
"secrétaire administratif / administrative";https://www.onisep.fr/http/redirection/metier/slug/MET.891;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1607;Secrétariat;https://candidat.francetravail.fr/metierscope/fiche-metier/M1607;"gestion des entreprises, comptabilité/secrétariat"
"responsable assurance qualité";https://www.onisep.fr/http/redirection/metier/slug/MET.202;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/maintenance, qualité"
"ingénieur / ingénieure en métrologie";https://www.onisep.fr/http/redirection/metier/slug/MET.460;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"mécanique/automatismes| électricité, électronique, robotique/électronique| sciences/physique"
"ingénieur / ingénieure de maintenance industrielle";https://www.onisep.fr/http/redirection/metier/slug/MET.491;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";I1102;"Management et ingénierie de maintenance industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/I1102;"mécanique/automatismes| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"chef / cheffe d'exploitation des remontées mécaniques";https://www.onisep.fr/http/redirection/metier/slug/MET.934;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";I1101;"Direction et ingénierie en entretien infrastructure et bâti";https://candidat.francetravail.fr/metierscope/fiche-metier/I1101;"électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| mécanique/mécanique (généralités)"
"assistant commercial / assistante commerciale";https://www.onisep.fr/http/redirection/metier/slug/MET.28;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";D1401;"Assistanat commercial";https://candidat.francetravail.fr/metierscope/fiche-metier/D1401;"gestion des entreprises, comptabilité/secrétariat"
"chef / cheffe de mission humanitaire";https://www.onisep.fr/http/redirection/metier/slug/MET.219;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";N1301;"Conception et organisation de la chaîne logistique";https://candidat.francetravail.fr/metierscope/fiche-metier/N1301;"santé, social, sport/travail social"
mannequin;https://www.onisep.fr/http/redirection/metier/slug/MET.504;;"pas de publication Onisep spécifique";;;"GFE S : hôtellerie,  tourisme, loisirs";L1102;"Mannequinat et pose artistique";https://candidat.francetravail.fr/metierscope/fiche-metier/L1102;"arts, culture, artisanat/arts graphiques| santé, social, sport/esthétique"
"palefrenier / palefrenière";https://www.onisep.fr/http/redirection/metier/slug/MET.19;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";A1403;"Aide d'élevage agricole et aquacole";https://candidat.francetravail.fr/metierscope/fiche-metier/A1403;"agriculture, animaux/élevage, aquaculture| agriculture, animaux/soins aux animaux"
"traiteur organisateur de réception/ traiteuse organisatrice de réception";https://www.onisep.fr/http/redirection/metier/slug/MET.121;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE K : production alimentaire";G1602;"Personnel de cuisine";https://candidat.francetravail.fr/metierscope/fiche-metier/G1602;"hôtellerie-restauration, tourisme/restauration"
bibliothécaire;https://www.onisep.fr/http/redirection/metier/slug/MET.44;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.francetravail.fr/metierscope/fiche-metier/K1601;"information-communication, audiovisuel/bibliothèque, documentation"
"mécanicien / mécanicienne de maintenance des matériels agricoles ou d'espaces verts";https://www.onisep.fr/http/redirection/metier/slug/MET.324;"Les métiers de l'agriculture et de la forêt";Parcours;2024;9782273016841;"GFE A : agriculture";I1603;"Maintenance d'engins de chantier, levage, manutention et de machines agricoles";https://candidat.francetravail.fr/metierscope/fiche-metier/I1603;"mécanique/machinisme agricole"
"diagnostiqueur / diagnostiqueuse immobilier";https://www.onisep.fr/http/redirection/metier/slug/MET.910;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1103;"Contrôle et diagnostic technique du bâtiment";https://candidat.francetravail.fr/metierscope/fiche-metier/F1103;"construction, architecture, travaux publics/génie civil, construction (généralités)"
"chirurgien-dentiste / chirurgienne-dentiste";https://www.onisep.fr/http/redirection/metier/slug/MET.870;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1103;"Médecine dentaire";https://candidat.francetravail.fr/metierscope/fiche-metier/J1103;"santé, social, sport/médical"
"ingénieur / ingénieure télécoms et réseaux";https://www.onisep.fr/http/redirection/metier/slug/MET.887;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE H : électricité, énergie, électronique";M1804;"Études et développement de réseaux de télécoms";https://candidat.francetravail.fr/metierscope/fiche-metier/M1804;"électricité, électronique, robotique/électronique| informatique, Internet/systèmes et réseaux| électricité, électronique, robotique/télécommunications"
"agent / agente de propreté et d'hygiène";https://www.onisep.fr/http/redirection/metier/slug/MET.562;"Les métiers des services, spécial alternance";"Pourquoi pas moi ?";2023;9782273016667;"GFE T : environnement, nettoyage, sécurité";K2204;"Nettoyage de locaux";https://candidat.francetravail.fr/metierscope/fiche-metier/K2204;"environnement, énergies, propreté/propreté"
"responsable de site de traitement des déchets";https://www.onisep.fr/http/redirection/metier/slug/MET.927;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";K2306;"Supervision d'exploitation éco-industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/K2306;"environnement, énergies, propreté/déchets, pollutions et risques"
"responsable de rémunération";https://www.onisep.fr/http/redirection/metier/slug/MET.196;"Gestion, comptabilité et ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1503;"Management des ressources humaines";https://candidat.francetravail.fr/metierscope/fiche-metier/M1503;"gestion des entreprises, comptabilité/comptabilité| gestion des entreprises, comptabilité/ressources humaines"
"chef / cheffe d'établissement scolaire";https://www.onisep.fr/http/redirection/metier/slug/MET.7832;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2103;"Direction d'établissement et d'enseignement";https://candidat.francetravail.fr/metierscope/fiche-metier/K2103;"lettres, langues, enseignement/enseignement| gestion des entreprises, comptabilité/ressources humaines"
"roboticien / roboticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.813;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"mécanique/automatismes| électricité, électronique, robotique/électronique"
"éducateur / éducatrice de la protection judiciaire de la jeunesse";https://www.onisep.fr/http/redirection/metier/slug/MET.924;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/metierscope/fiche-metier/K1207;"santé, social, sport/travail social"
"chargé / chargée HSE (hygiène sécurité environnement)";https://www.onisep.fr/http/redirection/metier/slug/MET.878;"Les métiers de l'industrie textile";"Zoom sur les métiers";2022;9782273015585;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/metierscope/fiche-metier/H1302;"environnement, énergies, propreté/propreté| armée, sécurité/sécurité, prévention"
"chargé / chargée HSE (hygiène sécurité environnement)";https://www.onisep.fr/http/redirection/metier/slug/MET.878;"Les métiers de l'industrie de la chimie";"Zoom sur les métiers";2021;9782273015622;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/metierscope/fiche-metier/H1302;"environnement, énergies, propreté/propreté| armée, sécurité/sécurité, prévention"
"aquaculteur / aquacultrice";https://www.onisep.fr/http/redirection/metier/slug/MET.90;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE B : pêche, mer";A1404;Aquaculture;https://candidat.francetravail.fr/metierscope/fiche-metier/A1404;"agriculture, animaux/élevage, aquaculture"
"auxiliaire de puériculture";https://www.onisep.fr/http/redirection/metier/slug/MET.415;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1304;"Aide en puériculture";https://candidat.francetravail.fr/metierscope/fiche-metier/J1304;"santé, social, sport/paramédical"
"expert / experte automobile";https://www.onisep.fr/http/redirection/metier/slug/MET.886;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";I1604;"Mécanique automobile et entretien de véhicules";https://candidat.francetravail.fr/metierscope/fiche-metier/I1604;"mécanique/automobile| matières premières, fabrication, industries/génie industriel"
"technico-commercial / technico-commerciale en agroalimentaire";https://www.onisep.fr/http/redirection/metier/slug/MET.548;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE K : production alimentaire";D1407;"Relation technico-commerciale";https://candidat.francetravail.fr/metierscope/fiche-metier/D1407;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/marketing, vente"
"syndic de copropriété";https://www.onisep.fr/http/redirection/metier/slug/MET.764;"Les métiers de l'immobilier";Parcours;2021;9782273015837;"GFE Q : commerce, gestion, finances";C1501;"Gérance immobilière";https://candidat.francetravail.fr/metierscope/fiche-metier/C1501;"banque, assurances, immobilier/immobilier"
"directeur / directrice d'hôtel";https://www.onisep.fr/http/redirection/metier/slug/MET.2;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1402;"Management d'hôtel-restaurant";https://candidat.francetravail.fr/metierscope/fiche-metier/G1402;"gestion des entreprises, comptabilité/administration de l'entreprise| hôtellerie-restauration, tourisme/hôtellerie| hôtellerie-restauration, tourisme/tourisme"
"ajusteur-monteur / ajusteuse-monteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.575;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE F : mécanique";H2901;"Ajustement et montage de fabrication";https://candidat.francetravail.fr/metierscope/fiche-metier/H2901;"mécanique/mécanique (généralités)"
"directeur / directrice d'office de tourisme";https://www.onisep.fr/http/redirection/metier/slug/MET.434;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.francetravail.fr/metierscope/fiche-metier/G1102;"hôtellerie-restauration, tourisme/tourisme"
"peintre en bâtiment";https://www.onisep.fr/http/redirection/metier/slug/MET.10;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1606;"Peinture en bâtiment";https://candidat.francetravail.fr/metierscope/fiche-metier/F1606;"construction, architecture, travaux publics/finition| construction, architecture, travaux publics/génie civil, construction (généralités)"
"accompagnant / accompagnante d'élèves en situation de handicap";https://www.onisep.fr/http/redirection/metier/slug/MET.7829;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";K2104;"Éducation et surveillance au sein d'établissements d'enseignement";https://candidat.francetravail.fr/metierscope/fiche-metier/K2104;"santé, social, sport/travail social"
"ingénieur / ingénieure chimiste";https://www.onisep.fr/http/redirection/metier/slug/MET.170;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"matières premières, fabrication, industries/agroalimentaire| sciences/chimie| matières premières, fabrication, industries/matériaux| santé, social, sport/médical| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur / ingénieure chimiste";https://www.onisep.fr/http/redirection/metier/slug/MET.170;"Les métiers de l'industrie de la chimie";"Zoom sur les métiers";2021;9782273015622;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"matières premières, fabrication, industries/agroalimentaire| sciences/chimie| matières premières, fabrication, industries/matériaux| santé, social, sport/médical| matières premières, fabrication, industries/méthodes industrialisation"
"chargé / chargée de projet événementiel";https://www.onisep.fr/http/redirection/metier/slug/MET.473;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;"information-communication, audiovisuel/communication"
"ingénieur technico-commercial / ingénieure technico-commerciale en informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.204;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";D1407;"Relation technico-commerciale";https://candidat.francetravail.fr/metierscope/fiche-metier/D1407;"informatique, Internet/informatique (généralités)| commerce, marketing, vente/marketing, vente"
webdesigner;https://www.onisep.fr/http/redirection/metier/slug/MET.450;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE U : communication, médias";E1205;"Réalisation de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
scénariste;https://www.onisep.fr/http/redirection/metier/slug/MET.754;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE V : arts, spectacle, audiovisuel";E1102;"Ecriture d'ouvrages, de livres";https://candidat.francetravail.fr/metierscope/fiche-metier/E1102;"information-communication, audiovisuel/audiovisuel"
"convoyeur / convoyeuse de fonds";https://www.onisep.fr/http/redirection/metier/slug/MET.484;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K2503;"Sécurité et surveillance privées";https://candidat.francetravail.fr/metierscope/fiche-metier/K2503;"armée, sécurité/sécurité, prévention"
"conducteur / conductrice d'engins de damage";https://www.onisep.fr/http/redirection/metier/slug/MET.7957;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";F1302;"Conduite d'engins de terrassement et de carrière";https://candidat.francetravail.fr/metierscope/fiche-metier/F1302;"mécanique/engins| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)| construction, architecture, travaux publics/travaux publics"
"manager de proximité";https://www.onisep.fr/http/redirection/metier/slug/MET.7995;"Gestion, comptabilité et ressources humaines";Parcours;2021;9782273015769;"GFE C : bâtiment";;;;"construction, architecture, travaux publics/génie civil| construction, architecture, travaux publics/travaux publics"
contremaître;https://www.onisep.fr/http/redirection/metier/slug/MET.58;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1401;"Management et ingénierie gestion industrielle et logistique";https://candidat.francetravail.fr/metierscope/fiche-metier/H1401;"matières premières, fabrication, industries/fabrication, productique| logistique, transport/logistique| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
"assistant médical / assistante médicale";https://www.onisep.fr/http/redirection/metier/slug/MET.7819;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1303;"Assistance médico-technique";https://candidat.francetravail.fr/metierscope/fiche-metier/J1303;"santé, social, sport/paramédical| gestion des entreprises, comptabilité/secrétariat"
"femme / valet de chambre";https://www.onisep.fr/http/redirection/metier/slug/MET.534;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1501;"Personnel d'étage";https://candidat.francetravail.fr/metierscope/fiche-metier/G1501;"hôtellerie-restauration, tourisme/hôtellerie| environnement, énergies, propreté/propreté"
"géothermicien / géothermicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.443;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.francetravail.fr/metierscope/fiche-metier/F1105;"environnement, énergies, propreté/énergies"
"technicien démonstrateur / technicienne démonstratrice en matériel agricole";https://www.onisep.fr/http/redirection/metier/slug/MET.732;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE A : agriculture";;;;"mécanique/machinisme agricole"
"assistant / assistante de gestion en PME";https://www.onisep.fr/http/redirection/metier/slug/MET.797;"Gestion, comptabilité et ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1605;"Assistanat technique et administratif";https://candidat.francetravail.fr/metierscope/fiche-metier/M1605;"gestion des entreprises, comptabilité/administration de l'entreprise| gestion des entreprises, comptabilité/comptabilité"
"commis / commise de cuisine";https://www.onisep.fr/http/redirection/metier/slug/MET.7992;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE K : production alimentaire";G1602;"Personnel de cuisine";https://candidat.francetravail.fr/metierscope/fiche-metier/G1602;"hôtellerie-restauration, tourisme/restauration"
"ingénieur éco-concepteur / ingénieure éco-conceptrice";https://www.onisep.fr/http/redirection/metier/slug/MET.633;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/matériaux"
actuaire;https://www.onisep.fr/http/redirection/metier/slug/MET.861;"Mathématiques, statistiques et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE Q : commerce, gestion, finances";C1105;"Études actuarielles en assurances";https://candidat.francetravail.fr/metierscope/fiche-metier/C1105;"banque, assurances, immobilier/assurances| sciences/mathématiques"
"brancardier / brancardière";https://www.onisep.fr/http/redirection/metier/slug/MET.635;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1301;"Personnel polyvalent des services hospitaliers";https://candidat.francetravail.fr/metierscope/fiche-metier/J1301;"santé, social, sport/travail social"
"ingénieur technico-commercial / ingénieure technico-commerciale en électronique";https://www.onisep.fr/http/redirection/metier/slug/MET.104;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE H : électricité, énergie, électronique";D1407;"Relation technico-commerciale";https://candidat.francetravail.fr/metierscope/fiche-metier/D1407;"électricité, électronique, robotique/électronique| commerce, marketing, vente/marketing, vente"
"médecin urgentiste";https://www.onisep.fr/http/redirection/metier/slug/MET.7820;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1102;"Médecine généraliste et spécialisée";https://candidat.francetravail.fr/metierscope/fiche-metier/J1102;"santé, social, sport/médical"
"pâtissier / pâtissière de restaurant";https://www.onisep.fr/http/redirection/metier/slug/MET.7993;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE K : production alimentaire";D1104;"Pâtisserie, confiserie, chocolaterie et glacerie";https://candidat.francetravail.fr/metierscope/fiche-metier/D1104;"matières premières, fabrication, industries/agroalimentaire"
"animateur nature / animatrice nature";https://www.onisep.fr/http/redirection/metier/slug/MET.77;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE T : environnement, nettoyage, sécurité";G1202;"Animation d'activités culturelles ou ludiques";https://candidat.francetravail.fr/metierscope/fiche-metier/G1202;"hôtellerie-restauration, tourisme/tourisme"
"animateur nature / animatrice nature";https://www.onisep.fr/http/redirection/metier/slug/MET.77;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE T : environnement, nettoyage, sécurité";G1202;"Animation d'activités culturelles ou ludiques";https://candidat.francetravail.fr/metierscope/fiche-metier/G1202;"hôtellerie-restauration, tourisme/tourisme"
trader;https://www.onisep.fr/http/redirection/metier/slug/MET.757;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";C1301;"Front office marchés financiers";https://candidat.francetravail.fr/metierscope/fiche-metier/C1301;"banque, assurances, immobilier/finances"
"gardien / gardienne de refuge de montagne";https://www.onisep.fr/http/redirection/metier/slug/MET.7916;;"pas de publication Onisep spécifique";;;"GFE S : hôtellerie,  tourisme, loisirs";G1403;"Gestion de structure de loisirs ou d'hébergement touristique";https://candidat.francetravail.fr/metierscope/fiche-metier/G1403;"hôtellerie-restauration, tourisme/hôtellerie| hôtellerie-restauration, tourisme/tourisme"
"agent / agente arboricole";https://www.onisep.fr/http/redirection/metier/slug/MET.793;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1405;"Arboriculture et viticulture";https://candidat.francetravail.fr/metierscope/fiche-metier/A1405;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/cultures"
"gestionnaire de contrats informatiques";https://www.onisep.fr/http/redirection/metier/slug/MET.619;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";;;;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, Internet/informatique (généralités)"
"domoticien / domoticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.795;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1106;"électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique"
"assistant / assistante d'éducation";https://www.onisep.fr/http/redirection/metier/slug/MET.7831;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2104;"Éducation et surveillance au sein d'établissements d'enseignement";https://candidat.francetravail.fr/metierscope/fiche-metier/K2104;"armée, sécurité/sécurité, prévention| santé, social, sport/travail social"
"administrateur / administratrice judiciaire";https://www.onisep.fr/http/redirection/metier/slug/MET.792;"Les métiers du droit";Parcours;2024;9782273016865;"GFE W : droit, enseignement, recherche et sciences humaines";K1901;"Aide et médiation judiciaire";https://candidat.francetravail.fr/metierscope/fiche-metier/K1901;"économie, droit, politique/activité judiciaire| gestion des entreprises, comptabilité/comptabilité"
"retoucheur / retoucheuse";https://www.onisep.fr/http/redirection/metier/slug/MET.640;;"pas de publication Onisep spécifique";;;"GFE L : textile, habillement, cuir";D1207;"Retouches en habillement";https://candidat.francetravail.fr/metierscope/fiche-metier/D1207;"matières premières, fabrication, industries/textile, habillement"
"traffic manager";https://www.onisep.fr/http/redirection/metier/slug/MET.489;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.francetravail.fr/metierscope/fiche-metier/E1402;"commerce, marketing, vente/marketing, vente"
"traffic manager";https://www.onisep.fr/http/redirection/metier/slug/MET.489;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.francetravail.fr/metierscope/fiche-metier/E1402;"commerce, marketing, vente/marketing, vente"
"concepteur-rédacteur / conceptrice-rédactrice";https://www.onisep.fr/http/redirection/metier/slug/MET.316;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1104;"information-communication, audiovisuel/journalisme, édition, publicité"
"éducateur / éducatrice de jeunes enfants";https://www.onisep.fr/http/redirection/metier/slug/MET.668;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";K1202;"Éducation de jeunes enfants";https://candidat.francetravail.fr/metierscope/fiche-metier/K1202;"santé, social, sport/travail social"
"employé / employée d'élevage";https://www.onisep.fr/http/redirection/metier/slug/MET.250;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";"A1407 | A1409 | A1410 | A1411";"Élevage bovin ou équin | Élevage de lapins et volailles | Élevage ovin ou caprin | Élevage porcin";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1407 | https://candidat.francetravail.fr/metierscope/fiche-metier/A1409 | https://candidat.francetravail.fr/metierscope/fiche-metier/A1410 | https://candidat.francetravail.fr/metierscope/fiche-metier/A1411";"agriculture, animaux/élevage, aquaculture"
"technicien / technicienne qualité";https://www.onisep.fr/http/redirection/metier/slug/MET.175;"Les métiers de l'industrie textile";"Zoom sur les métiers";2022;9782273015585;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";"H1503 | H1504 | H1506";"Intervention technique en laboratoire d'analyse industrielle | Intervention technique en contrôle essai qualité en électricité et électronique | Intervention technique qualité en mécanique et travail des métaux";"https://candidat.francetravail.fr/metierscope/fiche-metier/H1503 | https://candidat.francetravail.fr/metierscope/fiche-metier/H1504 | https://candidat.francetravail.fr/metierscope/fiche-metier/H1506";"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/fabrication, productique| matières premières, fabrication, industries/maintenance, qualité"
"technicien / technicienne qualité";https://www.onisep.fr/http/redirection/metier/slug/MET.175;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";"H1503 | H1504 | H1506";"Intervention technique en laboratoire d'analyse industrielle | Intervention technique en contrôle essai qualité en électricité et électronique | Intervention technique qualité en mécanique et travail des métaux";"https://candidat.francetravail.fr/metierscope/fiche-metier/H1503 | https://candidat.francetravail.fr/metierscope/fiche-metier/H1504 | https://candidat.francetravail.fr/metierscope/fiche-metier/H1506";"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/fabrication, productique| matières premières, fabrication, industries/maintenance, qualité"
"pilote d'hélicoptère";https://www.onisep.fr/http/redirection/metier/slug/MET.358;;"pas de publication Onisep spécifique";;;"GFE O : transport, logistique";N2102;"Pilotage et navigation technique aérienne";https://candidat.francetravail.fr/metierscope/fiche-metier/N2102;"logistique, transport/transport"
"spécialiste des affaires réglementaires en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.736;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;"sciences/biologie| sciences/chimie| économie, droit, politique/droit (généralités)"
"spécialiste des affaires réglementaires en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.736;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;"sciences/biologie| sciences/chimie| économie, droit, politique/droit (généralités)"
"technicien / technicienne d'essais";https://www.onisep.fr/http/redirection/metier/slug/MET.574;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";H1504;"Intervention technique en contrôle essai qualité en électricité et électronique";https://candidat.francetravail.fr/metierscope/fiche-metier/H1504;"mécanique/aéronautique| mécanique/automatismes| électricité, électronique, robotique/électronique| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fabrication, productique| sciences/physique"
